T,RING_SIZE,RING_BYTES,RES_ACT,RES_SKETCH,RES_RING
873,3,104,11,9,6
874,3,104,16,8,20
875,3,104,15,4,27
876,3,104,16,6,28
877,3,104,12,3,6
878,3,104,14,9,8
879,3,104,14,8,24
880,3,104,12,8,7
881,3,104,15,6,8
882,3,104,14,4,8
883,3,104,15,7,6
884,3,104,14,11,7
885,3,104,14,9,24
886,3,104,13,8,25
887,3,104,15,4,26
888,3,104,6,6,29
889,3,104,17,9,21
890,3,104,9,8,26
891,3,104,14,12,7
892,3,104,14,12,8
893,3,104,15,6,8
894,3,104,16,12,27
895,3,104,9,7,7
896,3,104,17,8,29
897,3,104,15,9,27
898,3,104,17,12,9
899,3,104,15,11,26
900,3,104,14,5,29
901,3,104,16,12,27
902,3,104,15,13,9
903,3,104,13,7,22
904,3,104,13,4,8
905,3,104,15,8,8
906,3,104,14,6,29
907,3,104,15,5,6
908,3,104,13,7,7
909,3,104,15,9,25
910,3,104,14,8,23
911,3,104,14,8,8
912,3,104,14,9,28
913,3,104,15,4,26
914,3,104,7,7,30
915,3,104,15,10,9
916,3,104,16,4,8
917,3,104,15,8,26
918,3,104,10,8,8
919,3,104,13,4,7
920,3,104,9,8,26
921,3,104,16,6,28
922,3,104,15,9,24
923,3,104,14,5,8
924,3,104,14,8,7
925,3,104,14,9,7
926,3,104,15,5,8
927,3,104,17,13,28
928,3,104,16,7,30
929,3,104,15,3,7
930,3,104,18,13,10
931,3,104,12,9,8
932,3,104,14,7,25
933,3,104,15,5,8
934,4,104,15,9,1
935,4,104,13,3,0
936,4,104,17,8,31
937,4,104,15,6,9
938,4,104,18,10,0
939,4,104,15,2,0
940,4,104,16,13,1
941,4,104,11,11,9
942,4,104,15,9,1
943,4,104,16,6,10
944,4,104,15,9,1
945,4,104,12,12,10
946,4,104,17,10,1
947,4,104,18,9,32
948,4,104,16,14,10
949,4,104,16,7,9
950,4,104,9,5,1
951,4,104,14,8,8
952,4,104,10,9,2
953,4,104,15,8,10
954,4,104,17,15,11
955,4,104,15,6,1
956,4,104,11,6,11
957,4,104,17,8,10
958,4,104,10,9,27
959,4,104,15,11,30
960,4,104,13,10,10
961,4,104,16,7,9
962,4,104,14,14,2
963,4,104,16,11,10
964,4,104,16,7,2
965,4,104,12,7,12
966,4,104,16,10,2
967,4,104,17,5,1
968,4,104,16,5,2
969,4,104,17,13,27
970,4,104,17,13,9
971,4,104,10,8,11
972,4,104,16,10,2
973,5,104,17,7,1
974,5,104,16,9,0
975,5,104,14,11,1
976,5,104,16,10,2
977,5,104,15,12,0
978,5,104,14,13,2
979,5,104,14,7,0
980,5,104,16,12,0
981,5,104,14,8,3
982,5,104,15,11,2
983,5,104,12,11,1
984,5,104,18,7,3
985,5,104,9,8,3
986,5,104,16,9,1
987,5,104,17,11,3
988,5,104,17,8,1
989,5,104,17,5,0
990,5,104,16,8,0
991,5,104,14,8,27
992,5,104,15,14,4
993,5,104,16,10,3
994,5,104,13,6,1
995,5,104,16,12,3
996,5,104,15,8,3
997,5,104,17,7,3
998,5,104,19,6,5
999,5,104,15,10,12
1000,5,104,15,5,1
1001,5,104,11,9,13
1002,5,104,16,9,4
1003,5,104,16,6,2
1004,5,104,13,13,2
1005,5,104,16,9,4
1006,5,104,16,9,4
1007,5,104,17,11,5
1008,5,104,16,13,2
1009,5,104,14,4,3
1010,5,104,16,3,4
1011,5,104,18,12,6
1012,5,104,17,10,6
1013,5,104,16,9,2
1014,5,104,17,14,3
1015,5,104,13,7,1
1016,5,104,18,9,2
1017,5,104,16,12,31
1018,5,104,17,7,28
1019,5,104,17,7,3
1020,5,104,16,5,2
1021,5,104,18,10,1
1022,5,104,17,10,5
1023,5,104,14,7,1
1024,5,104,14,8,2
1025,5,104,17,8,1
1026,5,104,19,14,3
1027,5,104,13,13,0
1028,5,104,17,10,3
1029,5,104,16,15,4
1030,5,104,19,8,5
1031,5,104,17,6,2
1032,5,104,18,6,1
1033,5,104,11,11,5
1034,5,104,18,9,5
1035,5,104,17,10,6
1036,5,104,15,7,1
1037,5,104,17,10,5
1038,5,104,17,13,2
1039,5,104,15,10,5
1040,5,104,18,11,4
1041,5,104,15,13,9
1042,5,104,17,4,5
1043,5,104,17,12,6
1044,5,104,12,10,14
1045,5,104,18,11,7
1046,5,104,18,2,1
1047,5,104,11,6,1
1048,5,104,18,12,5
1049,5,104,15,5,5
1050,5,104,19,13,7
1051,5,104,16,7,6
1052,5,104,19,9,2
1053,5,104,12,6,2
1054,5,104,18,11,7
1055,5,104,18,6,3
1056,5,104,20,14,8
1057,5,104,14,6,6
1058,5,104,16,9,3
1059,5,104,18,14,7
1060,5,104,9,9,4
1061,5,104,17,4,1
1062,5,104,19,10,8
1063,5,104,19,11,3
1064,5,104,20,15,5
1065,5,104,19,12,6
1066,5,104,17,13,3
1067,5,104,19,12,9
1068,5,104,18,8,4
1069,5,104,18,10,7
1070,5,104,15,9,3
1071,5,104,8,8,31
1072,5,104,18,14,28
1073,5,104,19,7,4
1074,5,104,15,7,7
1075,5,104,16,4,2
1076,5,104,18,5,8
1077,5,104,20,12,4
1078,5,104,20,7,7
1079,5,104,17,8,3
1080,5,104,18,9,4
1081,5,104,9,9,32
1082,5,104,17,13,32
1083,5,104,18,14,4
1084,5,104,10,6,4
1085,5,104,16,7,8
1086,5,104,11,10,5
1087,5,104,15,8,6
1088,5,104,18,6,8
1089,5,104,15,8,2
1090,5,104,18,13,8
1091,5,104,17,11,10
1092,5,104,21,13,5
1093,5,104,20,13,11
1094,5,104,20,13,7
1095,5,104,18,12,12
1096,5,104,19,8,12
1097,5,104,17,5,4
1098,5,104,13,11,15
1099,5,104,17,8,9
1100,5,104,18,5,2
1101,5,104,21,15,9
1102,5,104,18,10,8
1103,5,104,16,9,7
1104,5,104,19,11,8
1105,5,104,13,9,5
1106,5,104,18,9,2
1107,5,104,22,16,10
1108,5,104,20,8,5
1109,5,104,19,10,3
1110,5,104,20,9,13
